Date,Time (mins)
01/20/2022,55.08
01/19/2022,45.45
01/18/2022,30.82
01/17/2022,35.8
01/16/2022,40.02
01/15/2022,42.57
01/14/2022,41.85
01/13/2022,94.52
01/12/2022,49.12
01/11/2022,54.75
01/10/2022,58.97
01/09/2022,48.97
01/08/2022,47.18
01/07/2022,45.98
01/06/2022,43.13
01/05/2022,47.05
01/04/2022,56.92
01/03/2022,29.47
01/02/2022,58.5
01/01/2022,42.65
12/31/2021,1.67
12/30/2021,31.82
12/29/2021,35.18
12/28/2021,34.07
12/27/2021,40.98
12/26/2021,45.52
12/25/2021,40.78
12/24/2021,28.85
12/23/2021,35.72
12/22/2021,44.97
12/21/2021,28.35
12/20/2021,25.05
12/19/2021,45.5
12/18/2021,84.68
12/17/2021,0
12/16/2021,48.83
12/15/2021,35.37
12/14/2021,46.18
12/13/2021,42.42
12/12/2021,42.57
12/11/2021,36.28
12/10/2021,35.33
12/09/2021,14.78
12/08/2021,35.7
12/06/2021,36.47
12/05/2021,42.47
12/04/2021,23.82
12/03/2021,37.97
12/02/2021,42.35
12/01/2021,50.37
11/30/2021,22.3
11/29/2021,45.45
11/28/2021,13.27
11/27/2021,19.32
11/26/2021,30.53
11/25/2021,32.45
11/24/2021,32.25
11/23/2021,15.85
11/22/2021,32
11/21/2021,31.68
11/19/2021,33.88
11/18/2021,40.43
11/17/2021,36.32
11/16/2021,26.12
11/15/2021,4.82
11/14/2021,71.8
11/13/2021,76.78
11/11/2021,7.42
11/10/2021,21.9
11/09/2021,56.93
11/08/2021,49.08
11/07/2021,34.17
11/06/2021,51.4
11/05/2021,51.4
11/04/2021,21.13
11/03/2021,44.03
11/02/2021,50.48
11/01/2021,41.12
10/30/2021,36.33
10/29/2021,53.27
10/28/2021,60
10/26/2021,44.22
10/25/2021,51.83
10/24/2021,92.2
10/23/2021,16.8
10/21/2021,31.55
10/20/2021,73.38
10/19/2021,8.7
10/18/2021,48.1
10/17/2021,66.38
10/16/2021,87.32
10/15/2021,0.32
10/14/2021,16
10/13/2021,54.57
10/12/2021,55.05
10/11/2021,47.33
10/10/2021,30.2
10/09/2021,47.3
10/08/2021,45.23
10/07/2021,29.32
10/06/2021,41.92
10/05/2021,18.08
10/04/2021,14.67
10/03/2021,51.18
10/01/2021,54.95
09/30/2021,6
09/29/2021,35.9
09/28/2021,17.62
09/27/2021,12.8
09/26/2021,34.98
09/25/2021,59.27
09/24/2021,12.37
09/23/2021,34.95
09/22/2021,34.37
09/21/2021,35.33
09/18/2021,40.67
09/17/2021,56.37
09/16/2021,45.57
09/15/2021,44.35
09/12/2021,51.85
09/11/2021,57.23
09/10/2021,44.48
09/09/2021,47.05
09/08/2021,45.75
09/07/2021,29.37
09/06/2021,58.67
09/05/2021,55.98
09/04/2021,43.52
09/03/2021,35.42
09/02/2021,14.6
09/01/2021,39.5
08/31/2021,34.8
08/30/2021,48.57
08/29/2021,36.38
08/28/2021,30.58
08/27/2021,59.6
08/25/2021,20.43
08/24/2021,6.62
08/22/2021,49.27
08/21/2021,57.6
08/20/2021,2.65
08/19/2021,12.82
08/18/2021,68.8
08/17/2021,15.45
08/16/2021,1.9
08/15/2021,33.38
08/14/2021,34.3
08/11/2021,39.68
08/10/2021,42.62
08/09/2021,36.03
08/06/2021,61.6
08/05/2021,9.83
08/03/2021,14
08/02/2021,28.7
07/31/2021,32.15
07/29/2021,23.55
07/28/2021,30.45
07/27/2021,17.87
07/26/2021,69.18
07/25/2021,22.32
07/24/2021,27.52
07/23/2021,29
07/22/2021,40.03
07/21/2021,48.6
07/20/2021,19.93
07/19/2021,39.82
07/18/2021,46.37
07/17/2021,56.1
07/16/2021,50.78
07/15/2021,31.97
07/14/2021,40.08
07/13/2021,43.55
07/12/2021,57.79
07/11/2021,22.2
07/10/2021,0.47
07/09/2021,34.67
07/08/2021,28.78
07/07/2021,51.93
07/06/2021,49.83
07/05/2021,43.1
07/04/2021,50.48
07/02/2021,42.27
06/30/2021,44.83
06/29/2021,48.68
06/28/2021,40.82
06/27/2021,43.92
06/26/2021,54.67
06/25/2021,60.73
