Habit,Date,Value,Unit,Memo,Tag
Make flashcards,2021-01-27,45,min,,
Make flashcards,2021-01-28,45,min,,
Make flashcards,2021-01-30,35,min,,
Make flashcards,2021-01-31,15,min,,
Make flashcards,2021-03-14,90,min,,
Make flashcards,2021-03-16,120,min,,
Make flashcards,2021-03-18,15,min,,
Make flashcards,2021-03-21,120,min,,
Make flashcards,2021-03-22,120,min,,
Make flashcards,2021-03-23,40,min,,
Make flashcards,2021-03-25,30,min,,
Make flashcards,2021-03-28,15,min,,
Make flashcards,2021-04-04,45,min,,
Make flashcards,2021-04-05,40,min,,
Make flashcards,2021-04-12,12,min,,
Make flashcards,2021-04-12,120,min,,
Make flashcards,2021-04-14,45,min,,
Make flashcards,2021-04-16,30,min,,
Make flashcards,2021-04-17,40,min,,
Make flashcards,2021-04-18,40,min,,
Make flashcards,2021-04-20,120,min,,
Make flashcards,2021-04-22,60,min,,
Make flashcards,2021-04-23,45,min,,
Make flashcards,2021-04-25,40,min,,
Make flashcards,2021-04-27,35,min,,
Make flashcards,2021-04-27,40,min,,
Make flashcards,2021-04-28,40,min,,
Make flashcards,2021-04-30,40,min,,
Make flashcards,2021-05-02,30,min,,
Make flashcards,2021-05-04,30,min,,
Make flashcards,2021-05-05,30,min,,
Make flashcards,2021-05-06,26,min,,
Make flashcards,2021-05-07,20,min,,
Make flashcards,2021-05-10,25,min,,
Make flashcards,2021-05-11,30,min,,
Make flashcards,2021-05-13,40,min,,
Make flashcards,2021-05-17,10,min,,
Make flashcards,2021-05-18,10,min,,
Make flashcards,2021-05-20,10,min,,
Make flashcards,2021-05-22,20,min,,
Make flashcards,2021-05-23,30,min,,
Make flashcards,2021-05-25,24,min,,
Make flashcards,2021-05-26,12,min,,
Make flashcards,2021-05-26,8,min,,
Make flashcards,2021-05-28,15,min,,
Make flashcards,2021-05-28,5,min,,
Make flashcards,2021-05-30,11,min,,
Make flashcards,2021-06-01,15,min,,
Make flashcards,2021-06-02,12,min,,
Make flashcards,2021-06-03,45,min,,
Make flashcards,2021-06-06,60,min,,
Make flashcards,2021-06-07,50,min,,
Make flashcards,2021-06-08,58,min,,
Make flashcards,2021-06-09,20,min,,
Make flashcards,2021-06-21,30,min,,
Make flashcards,2021-06-25,5,min,,
Make flashcards,2021-06-26,30,min,,
Make flashcards,2021-06-27,30,min,,
Make flashcards,2021-06-28,20,min,,
Make flashcards,2021-06-29,18,min,,
Make flashcards,2021-07-02,45,min,,
Make flashcards,2021-07-05,30,min,,
Make flashcards,2021-07-06,50,min,,
Make flashcards,2021-07-07,30,min,,
Make flashcards,2021-07-08,10,min,,
Make flashcards,2021-07-09,30,min,,
Make flashcards,2021-07-12,20,min,,
Make flashcards,2021-07-14,15,min,,
Make flashcards,2021-07-16,20,min,,
Make flashcards,2021-07-19,20,min,,
Make flashcards,2021-08-07,10,min,,
Make flashcards,2021-08-09,35,min,,
Make flashcards,2021-08-10,35,min,,
Make flashcards,2021-08-18,0,min,,
Make flashcards,2021-08-21,30,min,,
Make flashcards,2021-08-28,35.55,min,,
Make flashcards,2021-08-29,43.33,min,,
Make flashcards,2021-08-30,35,min,,
Make flashcards,2021-08-31,35,min,,
Make flashcards,2021-09-01,35,min,,
Make flashcards,2021-09-02,32,min,,
Make flashcards,2021-09-05,30,min,,
Make flashcards,2021-09-07,25,min,,
Make flashcards,2021-09-08,20,min,,
Make flashcards,2021-09-13,25,min,,
Make flashcards,2021-09-14,30,min,,
Make flashcards,2021-09-15,30,min,,
Make flashcards,2021-09-23,8,min,,
Make flashcards,2021-09-26,25,min,,
Make flashcards,2021-09-28,30,min,,
Make flashcards,2021-10-06,30,min,,
Make flashcards,2021-10-11,30,min,,
Make flashcards,2021-10-13,60,min,,
Make flashcards,2021-10-17,30,min,,
Make flashcards,2021-10-17,25,min,,
Make flashcards,2021-10-20,30,min,,
Make flashcards,2021-10-26,45,min,,
Make flashcards,2021-10-27,25,min,,
Make flashcards,2021-10-27,28,min,,
Make flashcards,2021-10-28,30,min,,
Make flashcards,2021-10-30,30,min,,
Make flashcards,2021-11-01,25,min,,
Make flashcards,2021-11-03,25,min,,
Make flashcards,2021-11-07,25,min,,
Make flashcards,2021-11-09,20,min,,
Make flashcards,2021-11-15,8,min,,
Make flashcards,2021-11-15,20,min,,
Make flashcards,2021-11-18,25,min,,
Make flashcards,2021-11-19,20,min,,
Make flashcards,2021-11-24,5,min,,
Make flashcards,2021-11-25,25,min,,
Make flashcards,2021-11-27,30,min,,
Make flashcards,2021-12-05,25,min,,
Make flashcards,2021-12-06,25,min,,
Make flashcards,2021-12-09,25,min,,
Make flashcards,2021-12-12,20,min,,
Make flashcards,2021-12-13,30,min,,
Make flashcards,2021-12-16,15,min,,
Make flashcards,2021-12-24,30,min,,
Make flashcards,2022-01-05,30,min,,
Make flashcards,2022-01-07,25,min,,
Make flashcards,2022-01-08,25,min,,
Make flashcards,2022-01-10,15,min,,
Make flashcards,2022-01-11,15,min,,
Make flashcards,2022-01-14,40,min,,
Make flashcards,2022-01-18,20,min,,
Make flashcards,2022-01-19,15,min,,
Make flashcards,2022-01-22,15,min,,
Make flashcards,2022-01-23,30,min,,
Make flashcards,2022-01-24,15,min,,
Make flashcards,2022-01-25,50,min,,
Make flashcards,2022-01-27,40,min,,
Make flashcards,2022-01-31,30,min,,
Make flashcards,2022-02-01,12,min,,
Make flashcards,2022-02-02,15,min,,
